Census families by age of older partner or parent and number of children 1 2 3 4 5
"Annual"
"Table: 11-10-0011-01 (formerly CANSIM 111-0011)"
"Geography: Province or territory, Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","","","Montréal, Quebec 7",,,,,,,,,,,"Toronto, Ontario",,,,,,,,,,,"Calgary, Alberta",,,,,,,,,,,"Edmonton, Alberta",,,,,,,,,,,"Vancouver, British Columbia",,,,,,,,,,,"Ottawa - Gatineau, combined Ontario/Quebec 8",,,,,,,,,,
"Family type2 3 4 5","Family composition2 3 4 5","Parent characteristics5","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"All families 3 4","Families with or without children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Median total income 11 12","78,700","81,580","81,930","83,670","86,750","89,360","91,980","94,340","97,330","100,700","104,750","80,070","82,550","81,370","83,730","86,420","89,120","91,900","95,940","100,670","104,250","108,560","104,430","110,230","106,040","107,320","112,640","119,340","123,780","128,800","127,840","122,290","124,890","99,240","105,850","103,180","104,900","110,270","116,190","120,200","124,030","123,020","118,780","121,410","77,690","81,230","80,430","80,950","83,760","86,770","90,490","94,940","101,270","105,520","111,210","..","103,770","107,470","109,500","113,420","115,060","120,210","121,570","124,750","126,600","133,920"
,"Families with 3 or more children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"All parental age groups 10","88,140","89,140","89,380","90,340","92,060","93,640","95,150","96,460","97,620","102,120","105,200","155,490","156,700","159,060","160,890","162,620","164,330","165,160","166,520","168,100","168,770","171,210","30,500","31,330","31,730","32,760","34,130","36,070","37,770","39,030","40,380","41,440","42,910","31,900","32,240","32,220","33,140","34,140","35,380","36,620","38,130","39,560","40,970","42,760","50,200","50,940","50,620","50,810","50,770","50,650","50,370","50,370","50,400","50,660","51,340","..","30,550","31,070","31,540","32,180","32,750","33,150","33,600","34,390","35,770","37,090"
,,"Older parent aged 35 to 44 years 10","38,440","38,340","37,850","38,260","39,130","39,990","40,880","41,660","42,370","44,350","45,060","62,350","62,130","61,940","62,140","62,020","62,270","61,520","60,640","60,420","59,830","59,940","13,020","13,350","13,510","14,170","14,840","16,080","16,950","17,480","18,030","18,570","19,050","13,590","13,610","13,500","14,010","14,660","15,400","16,170","17,140","17,960","18,830","19,710","19,380","19,460","19,030","18,930","18,760","18,640","18,220","17,880","17,870","18,050","18,100","..","13,140","13,180","13,400","13,610","13,860","13,930","14,100","14,140","14,720","15,100"
,,"Older parent aged 65 years and over 10","770","750","800","810","910","980","1,040","1,090","1,150","1,230","1,350","3,130","3,230","3,320","3,360","3,500","3,710","3,910","3,930","3,910","4,090","4,240","190","190","210","220","260","260","280","330","340","340","400","230","230","260","270","260","290","310","340","340","370","410","720","810","820","790","870","920","990","1,030","1,040","1,090","1,230","..","350","370","370","380","410","410","440","440","450","500"
,,"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Median total income 11 12","71,250","73,280","74,140","75,550","77,910","80,210","82,050","83,610","86,850","91,170","95,380","73,180","74,780","73,130","74,910","76,890","78,650","80,930","84,060","88,700","92,230","95,830","98,370","100,640","95,150","94,590","99,460","104,750","108,710","112,340","112,810","107,550","111,350","91,090","96,260","93,440","95,270","99,060","104,760","107,850","111,070","111,680","107,440","110,240","77,120","80,120","78,440","77,900","81,020","84,290","87,670","91,720","98,720","103,660","108,970","..","93,680","96,500","98,370","101,300","102,270","105,740","106,270","109,400","111,170","116,630"
,"Average family size 2 3 4","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"All parental age groups 10","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.9","2.9","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","3.0","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","3.0","3.0","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.8","..","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9","2.9"
,,"Older parent aged 35 to 44 years 10","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.5","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.4","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.6","3.6","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","..","3.4","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5","3.5"
,,"Older parent aged 65 years and over 10","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.3","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.3","..","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2","2.2"
,,"","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Median total income 11 12","63,790","65,660","65,960","67,010","69,150","71,390","73,250","75,010","76,950","79,180","82,000","66,560","68,120","66,790","68,110","69,740","71,210","72,830","75,270","78,280","80,310","83,020","87,970","91,570","88,410","89,490","93,410","98,300","101,260","104,530","104,410","100,200","102,060","83,460","88,190","86,250","87,930","91,860","96,030","98,480","101,470","101,870","98,890","101,190","66,330","68,670","67,550","67,090","68,970","71,140","73,390","76,040","79,930","82,510","86,140","..","87,160","89,410","90,790","93,440","94,230","96,710","97,760","99,510","100,760","105,050"
,"Average size of families with children 2 3 4 9","","Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
