"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Montréal, Quebec","2011S0503462","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823491","46.2.2","679","","","","0"
"2009","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","859","","","","0"
"2010","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","840","","","","0"
"2011","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","823","","","","0"
"2012","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","937","","","","0"
"2013","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","890","","","","0"
"2014","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","842","","","","0"
"2015","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","900","","","","0"
"2016","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","896","","","","0"
"2017","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","838","","","","0"
"2018","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","958","","","","0"
"2019","Montréal, Quebec","2011S0503462","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823625","46.2.3","949","","","","0"
"2009","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1229","","","","0"
"2010","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1240","","","","0"
"2011","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1282","","","","0"
"2012","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1195","","","","0"
"2013","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1213","","","","0"
"2014","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1045","","","","0"
"2015","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1302","","","","0"
"2016","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1284","","","","0"
"2017","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1205","","","","0"
"2018","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1353","","","","0"
"2019","Montréal, Quebec","2011S0503462","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823759","46.2.4","1281","","","","0"
"2009","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","514","","","","0"
"2010","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","526","","","","0"
"2011","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","549","","","","0"
"2012","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","539","","","","0"
"2013","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","555","","","","0"
"2014","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","569","","","","0"
"2015","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","573","","","","0"
"2016","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","586","","","","0"
"2017","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","597","","","","0"
"2018","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","641","","","","0"
"2019","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823893","46.1.1","655","","","","0"
"2009","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","604","","","","0"
"2010","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","627","","","","0"
"2011","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","641","","","","0"
"2012","Montréal, Quebec","2011S0503462","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824027","46.1.2","637","","","","0"
