"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Montréal, Quebec","2016S0503462","House","Total, construction type","Index, 2017=100","373","units","0","v1073542626","2.2.1","114.7","","","","1"
"2017-01","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","99.5","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","99.8","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","100.2","","","","1"
"2017-10","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","100.5","","","","1"
"2018-01","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","101.4","","","","1"
"2018-04","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","102.0","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","103.1","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","103.8","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","104.1","","","","1"
"2019-04","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","104.5","","","","1"
"2019-07","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","107.5","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","110.2","","","","1"
"2020-01","Montréal, Quebec","2016S0503462","House","New build","Index, 2017=100","373","units","0","v1073542629","2.2.2","111.9","","","","1"
"2017-01","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","97.7","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","99.1","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","100.8","","","","1"
"2017-10","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","102.4","","","","1"
"2018-01","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","103.0","","","","1"
"2018-04","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","104.4","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","107.3","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","107.6","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","108.2","","","","1"
"2019-04","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","109.5","","","","1"
"2019-07","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","114.3","","","","1"
"2019-10","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","114.3","","","","1"
"2020-01","Montréal, Quebec","2016S0503462","House","Resale","Index, 2017=100","373","units","0","v1073542632","2.2.3","115.6","","","","1"
"2017-01","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","98.0","","","","1"
"2017-04","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","99.5","","","","1"
"2017-07","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","100.5","","","","1"
"2017-10","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","101.9","","","","1"
"2018-01","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","101.2","","","","1"
"2018-04","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","102.7","","","","1"
"2018-07","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","105.0","","","","1"
"2018-10","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","105.9","","","","1"
"2019-01","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","105.3","","","","1"
"2019-04","Montréal, Quebec","2016S0503462","Condominium apartment","Total, construction type","Index, 2017=100","373","units","0","v1073542627","2.3.1","107.4","","","","1"
