"REF_DATE","GEO","DGUID","Components of population growth","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012/2013","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","12746","","","","0"
"2013/2014","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","14982","","","","0"
"2014/2015","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","14085","","","","0"
"2015/2016","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","21467","","","","0"
"2016/2017","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","16773","","","","0"
"2017/2018","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","14645","","","","0"
"2018/2019","Edmonton (CMA), Alberta","2016S0503835","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061206021","128.3.1.1","15556","","","","0"
"2006/2007","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","32245","","","","0"
"2007/2008","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","36617","","","","0"
"2008/2009","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","35977","","","","0"
"2009/2010","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","36850","","","","0"
"2010/2011","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","32857","","","","0"
"2011/2012","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","29630","","","","0"
"2012/2013","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","29822","","","","0"
"2013/2014","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","30466","","","","0"
"2014/2015","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","25159","","","","0"
"2015/2016","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","34750","","","","0"
"2016/2017","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","28023","","","","0"
"2017/2018","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","33295","","","","0"
"2018/2019","Vancouver (CMA), British Columbia","2016S0503933","Immigrants","Both sexes","All ages","Persons","249","units","0","v1061248063","142.3.1.1","34316","","","","0"


