"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981051","16.20.6.1.6.1","121200","","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981051","16.20.6.1.6.1","140000","","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981051","16.20.6.1.6.1","182000","E","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","55 to 64 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981051","16.20.6.1.6.1","266800","","","","0"
"1999","Toronto, Ontario","2011S0503535","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981069","16.20.7.1.6.1","","F","","","0"
"2005","Toronto, Ontario","2011S0503535","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981069","16.20.7.1.6.1","","F","","","0"
"2012","Toronto, Ontario","2011S0503535","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981069","16.20.7.1.6.1","","F","","","0"
"2016","Toronto, Ontario","2011S0503535","Mortgage on principal residence","65 years and older","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114981069","16.20.7.1.6.1","217700","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987765","18.20.1.1.6.1","121900","","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987765","18.20.1.1.6.1","140500","","","","0"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987765","18.20.1.1.6.1","243800","","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","All ages","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987765","18.20.1.1.6.1","266900","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987783","18.20.2.1.6.1","122500","","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987783","18.20.2.1.6.1","140600","","","","0"
"2012","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987783","18.20.2.1.6.1","245100","","","","0"
"2016","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 65 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987783","18.20.2.1.6.1","271600","","","","0"
"1999","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987801","18.20.3.1.6.1","141700","","","","0"
"2005","Calgary, Alberta","2011S0503825","Mortgage on principal residence","Under 35 years","Economic families and persons not in an economic family","Average value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v114987801","18.20.3.1.6.1","","F","","","0"
