"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: 17-10-0135-01"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,
"","All ages",,,,,,,,,,
"Geography","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","Persons",,,,,,,,,,
"Stratford (CA), Ontario","31,652","31,670","31,703","31,845","31,923","31,981","32,145","32,286","32,769","33,250","33,717"
"Chatham-Kent (CA), Ontario","108,767","107,512","106,670","106,000","105,490","105,149","104,521","104,771","105,266","105,713","106,091"
"Leamington (CA), Ontario","51,096","51,212","51,185","50,631","50,002","49,693","50,606","53,640","53,128","51,984","52,209"
"Sarnia (CA), Ontario","99,528","99,588","99,617","99,549","99,050","98,801","98,354","98,139","98,593","99,818","100,662"
"Wasaga Beach (CA), Ontario","16,972","17,474","17,964","18,651","19,245","19,888","20,488","21,111","22,055","22,625","23,182"
"Owen Sound (CA), Ontario","33,093","33,041","32,868","32,665","32,628","32,676","32,617","32,591","32,893","33,332","33,716"
"Collingwood (CA), Ontario","18,937","19,356","19,756","20,456","20,926","21,317","21,822","22,390","22,667","23,214","23,818"
"Orillia (CA), Ontario","31,330","31,408","31,423","31,793","31,700","32,049","32,118","31,937","32,575","32,906","33,335"
"Midland (CA), Ontario","36,370","36,333","36,304","36,132","36,207","36,286","36,463","36,812","38,027","38,861","39,567"
"North Bay (CA), Ontario","74,133","74,411","74,461","74,083","73,560","73,190","72,786","72,358","73,195","73,624","73,838"
"Elliot Lake (CA), Ontario","11,613","11,582","11,512","11,301","11,107","10,961","10,897","10,960","11,145","11,294","11,431"
"Timmins (CA), Ontario","44,290","44,361","44,373","44,323","44,165","43,782","43,174","42,922","42,659","42,567","43,006"
"Sault Ste. Marie (CA), Ontario","82,583","82,612","82,450","82,217","82,012","81,441","81,087","80,681","80,203","80,045","80,589"
"Kenora (CA), Ontario","15,726","15,756","15,734","15,699","15,571","15,602","15,621","15,553","15,853","15,868","15,919"
"Winkler (CA), Manitoba","26,330","26,899","27,457","28,217","28,982","29,506","30,275","31,317","31,914","32,695","33,536"
"Steinbach (CA), Manitoba","12,950","13,397","13,984","14,843","15,688","16,015","15,531","16,232","16,262","16,175","16,313"
"Portage la Prairie (CA), Manitoba","13,078","13,210","13,212","13,158","13,096","13,222","13,300","13,630","13,579","13,500","13,549"
"Brandon (CA), Manitoba","53,888","55,296","55,927","56,607","57,256","58,052","58,873","59,849","60,881","61,566","62,242"
"Thompson (CA), Manitoba","13,533","13,500","13,436","13,484","13,532","13,688","13,907","14,187","14,463","14,473","14,332"
"Yorkton (CA), Saskatchewan","18,495","18,632","18,662","18,942","19,204","19,401","19,257","19,477","19,562","19,601","19,742"
"Moose Jaw (CA), Saskatchewan","34,920","35,072","35,341","35,557","35,600","35,696","35,723","36,108","36,280","36,387","36,500"
"Swift Current (CA), Saskatchewan","17,575","17,936","18,010","18,215","18,435","18,635","18,871","19,099","19,286","19,446","19,644"
"North Battleford (CA), Saskatchewan","19,047","19,317","19,381","19,567","19,802","19,879","19,935","20,193","20,101","19,960","19,696"
"Prince Albert (CA), Saskatchewan","44,264","44,726","44,877","45,044","45,205","45,190","45,287","45,673","46,120","46,148","46,312"
"Estevan (CA), Saskatchewan","12,929","13,206","13,398","13,728","14,138","14,308","14,167","14,059","13,857","13,763","13,783"
"Weyburn (CA), Saskatchewan","10,280","10,564","10,770","10,922","11,090","11,213","11,203","11,201","11,267","11,267","11,279"
"Lloydminster (CA), Alberta/Saskatchewan","30,737","31,418","32,114","33,257","34,582","35,527","35,688","35,729","35,743","36,136","36,563"
"Medicine Hat (CA), Alberta","74,889","75,040","75,249","76,139","76,951","77,570","78,162","78,380","78,609","79,045","79,267"
"Brooks (CA), Alberta","24,234","24,428","24,246","24,997","25,256","25,391","25,309","25,311","25,092","24,900","25,081"
"Okotoks (CA), Alberta","22,525","24,012","25,417","26,620","27,651","28,549","29,147","29,664","29,951","30,191","30,542"
"High River (CA), Alberta","12,466","12,895","13,320","13,777","13,869","13,618","13,806","13,972","14,142","14,183","14,250"
"Strathmore (CA), Alberta","12,086","12,442","12,732","13,015","13,443","13,757","13,930","14,086","14,063","14,153","14,226"
"Canmore (CA), Alberta","12,810","12,778","12,735","13,214","13,643","14,051","14,243","14,592","14,881","15,022","15,032"
"Red Deer (CA), Alberta","92,552","93,272","94,124","96,878","99,564","101,734","102,809","103,481","103,338","104,415","105,768"
"Sylvan Lake (CA), Alberta","12,565","12,947","13,316","14,029","14,692","15,181","15,655","15,791","15,650","15,724","15,924"
"Lacombe (CA), Alberta","11,881","11,940","12,124","12,579","12,920","13,227","13,368","13,350","13,249","13,241","13,294"
"Camrose (CA), Alberta","17,428","17,648","17,857","18,176","18,409","18,859","19,155","19,191","19,090","19,106","19,161"
