"REF_DATE","GEO","DGUID","Family type","Family composition","Parent characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","428260","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","433020","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","436790","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","455380","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with no children","All parental age groups","Number","223","units","0","v21211322","14.1.2.1","463930","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","38160","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","37790","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","38340","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","38100","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","38850","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","39260","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","39800","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","40550","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","40520","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","41370","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 35 to 44 years","Number","223","units","0","v21211325","14.1.2.4","44120","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","136450","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","140860","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","145460","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","150330","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","156090","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","161490","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","166720","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","171740","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","176360","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","188130","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with no children","Older parent aged 65 years and over","Number","223","units","0","v21211328","14.1.2.7","193630","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","58040","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","59800","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","59870","","","","0"
"2010","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","60680","","","","0"
"2011","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","62590","","","","0"
"2012","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","64410","","","","0"
"2013","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","65760","","","","0"
"2014","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","67390","","","","0"
"2015","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","68830","","","","0"
"2016","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","69890","","","","0"
"2017","Montréal, Quebec","2016S0503462","All families","Families with no children","Median total income","Dollars","81","units","0","v21211329","14.1.2.8","71590","","","","0"
"2007","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","285930","","","","0"
"2008","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","287420","","","","0"
"2009","Montréal, Quebec","2016S0503462","All families","Families with 1 child","All parental age groups","Number","223","units","0","v21211330","14.1.3.1","287310","","","","0"
